"epoch","skilled-firefly-1 - train_loss_epoch","skilled-firefly-1 - train_loss_epoch__MIN","skilled-firefly-1 - train_loss_epoch__MAX","skilled-firefly-1 - _step","skilled-firefly-1 - _step__MIN","skilled-firefly-1 - _step__MAX"
"73","0.8163871169090271","0.8163871169090271","0.8163871169090271","802","802","802"
"74","0.8127147555351257","0.8127147555351257","0.8127147555351257","813","813","813"
"75","0.8025532960891724","0.8025532960891724","0.8025532960891724","824","824","824"
"76","0.8106408715248108","0.8106408715248108","0.8106408715248108","835","835","835"
"77","0.8144524693489075","0.8144524693489075","0.8144524693489075","846","846","846"
"78","0.8128596544265747","0.8128596544265747","0.8128596544265747","856","856","856"
"79","0.8111062049865723","0.8111062049865723","0.8111062049865723","867","867","867"
"80","0.8030657172203064","0.8030657172203064","0.8030657172203064","878","878","878"
"81","0.8061830997467041","0.8061830997467041","0.8061830997467041","889","889","889"
"82","0.8059578537940979","0.8059578537940979","0.8059578537940979","900","900","900"
