"Relative Time (Process)","final_final-v0 - system/gpu.0.gpu","final_final-v0 - system/gpu.0.gpu__MIN","final_final-v0 - system/gpu.0.gpu__MAX"
"3771.311494843","97","97","97"
"3781.855161758","78","78","78"
"3786.313085018","99","99","99"
"3796.856227882","99","99","99"
"3801.313399449","98","98","98"
"3811.856082563","67","67","67"
"3816.311847194","97","97","97"
"3826.855458501","98","98","98"
"3831.313380056","99","99","99"
"3841.856628328","99","99","99"
"3846.313164646","99","99","99"
"3856.857662282","69","69","69"
"3861.312340455","84","84","84"
"3871.855004436","98","98","98"
"3876.312878224","63","63","63"
"3886.854955135","99","99","99"
"3891.313072209","61","61","61"
"3901.855554838","68","68","68"
"3906.313778922","93","93","93"
"3916.855516775","98","98","98"
"3921.311492879","97","97","97"
"3931.855341094","99","99","99"
"3936.312546783","99","99","99"
"3946.856225192","97","97","97"
"3951.312745149","71","71","71"
"3961.856060061","68","68","68"
"3966.312010853","97","97","97"
"3976.85525413","95","95","95"
"3981.312783685","99","99","99"
"3991.855540527","99","99","99"
"3996.312734217","80","80","80"
"4006.85502947","68","68","68"
"4011.313172693","94","94","94"
"4021.856017484","98","98","98"
"4026.313473518","97","97","97"
"4036.855051345","98","98","98"
"4041.311691526","97","97","97"
"4051.854540825","69","69","69"
"4056.312959222","97","97","97"
"4066.854832903","98","98","98"
"4071.311978127","99","99","99"
"4081.854584058","99","99","99"
"4086.313129152","99","99","99"
"4096.855046908","76","76","76"
"4101.312344368","65","65","65"
"4111.854906885","95","95","95"
"4116.311545149","87","87","87"
"4126.8552798","90","90","90"
"4131.313084504","97","97","97"
"4141.856169557","99","99","99"
"4146.313100892","97","97","97"
"4156.856604292","68","68","68"
"4161.313972885","99","99","99"
"4171.85645334","76","76","76"
"4176.313249077","69","69","69"
"4186.855662121","99","99","99"
"4191.311735604","69","69","69"
"4201.854153751","75","75","75"
"4206.312929854","97","97","97"
"4216.854890938","98","98","98"
"4221.313503931","48","48","48"
"4231.85571761","99","99","99"
"4236.315685777","63","63","63"
"4246.854496202","68","68","68"
"4251.313188608","97","97","97"
"4261.856652706","97","97","97"
"4266.313189034","98","98","98"
"4276.855590969","96","96","96"
"4281.312618667","99","99","99"
"4291.855110445","69","69","69"
"4296.313280234","73","73","73"
"4306.855513972","98","98","98"
"4311.312411328","83","83","83"
"4321.855869415","99","99","99"
"4326.313148824","97","97","97"
"4336.855414117","88","88","88"
"4341.312504938","99","99","99"
"4351.855527062","84","84","84"
"4356.313925318","76","76","76"
"4366.856289094","69","69","69"
"4371.313366821","60","60","60"
"4381.856357189","98","98","98"
"4386.312640388","99","99","99"
"4396.856056045","99","99","99"
"4401.313893186","94","94","94"
"4411.855676786","69","69","69"
"4416.313377754","66","66","66"
"4426.855336216","98","98","98"
"4431.31222297","70","70","70"
"4441.855999353","99","99","99"
"4446.312004466","97","97","97"
"4456.855903621","68","68","68"
"4461.312993033","97","97","97"
"4471.85602272","99","99","99"
"4476.31347709","99","99","99"
"4486.854893874","79","79","79"
"4491.312462941","63","63","63"
"4501.854324544","97","97","97"
"4506.312940655","99","99","99"
"4516.85559273","94","94","94"
"4521.313583338","97","97","97"
"4531.855781594","99","99","99"
"4536.312971426","99","99","99"
"4546.85494869","69","69","69"
"4551.31249715","99","99","99"
"4561.854594462","98","98","98"
"4566.312533235","98","98","98"
"4576.856031867","76","76","76"
"4581.311936719","63","63","63"
"4591.855242201","97","97","97"
"4596.311715798","89","89","89"
"4606.856959813","82","82","82"
"4611.312932056","97","97","97"
"4621.856021968","99","99","99"
"4626.312438875","99","99","99"
"4636.855264044","97","97","97"
"4641.312480526","79","79","79"
"4651.856533464","74","74","74"
"4656.313431063","96","96","96"
"4666.857048436","98","98","98"
"4671.313243494","81","81","81"
"4681.854323955","98","98","98"
"4686.312147903","75","75","75"
"4696.854937723","74","74","74"
"4701.313032263","94","94","94"
"4711.855584186","97","97","97"
"4716.312801801","97","97","97"
"4726.855177734","96","96","96"
"4731.312809612","95","95","95"
"4741.854381406","97","97","97"
"4746.312875515","87","87","87"
"4756.85568064","96","96","96"
"4761.314108581","63","63","63"
"4771.855816999","74","74","74"
"4776.313220436","97","97","97"
"4786.855924323","97","97","97"
"4791.312444843","99","99","99"
"4801.854654546","97","97","97"
"4806.314077195","62","62","62"
"4816.855038816","97","97","97"
"4821.313763478","99","99","99"
"4831.85557158","64","64","64"
"4836.312423373","64","64","64"
"4846.855923007","99","99","99"
"4851.311623256","80","80","80"
"4861.854897273","99","99","99"
"4866.312605826","97","97","97"
"4876.855370654","99","99","99"
"4881.312990484","94","94","94"
"4891.853888409","97","97","97"
"4896.313386752","99","99","99"
"4906.856685275","66","66","66"
"4911.314832861","79","79","79"
"4921.855539565","67","67","67"
"4926.312272243","91","91","91"
"4936.855712319","98","98","98"
"4941.31296676","97","97","97"
"4951.855044126","90","90","90"
"4956.312953211","99","99","99"
"4966.855958174","99","99","99"
"4971.313903122","88","88","88"
"4981.855334232","97","97","97"
"4986.312212478","63","63","63"
"4996.855868774","97","97","97"
"5001.312608035","80","80","80"
"5011.855040748","68","68","68"
"5016.312990505","68","68","68"
"5026.855289974","64","64","64"
"5031.313128852","93","93","93"
"5041.855178223","99","99","99"
"5046.313043595","97","97","97"
"5056.855987304","99","99","99"
"5061.313523653","99","99","99"
"5071.854870098","97","97","97"
"5076.312573735","83","83","83"
"5086.855784647","98","98","98"
"5091.313081216","97","97","97"
"5101.856001516","99","99","99"
"5106.313187322","99","99","99"
"5116.855192758","64","64","64"
"5121.312648883","99","99","99"
"5131.856821482","99","99","99"
"5136.312200347","78","78","78"
"5146.855010681","98","98","98"
"5151.312600355","94","94","94"
"5161.854047705","97","97","97"
"5166.312120187","99","99","99"
"5176.855706212","99","99","99"
"5181.313098382","94","94","94"
"5191.854278367","65","65","65"
"5196.312956903","63","63","63"
"5206.854787916","97","97","97"
"5211.312350629","98","98","98"
"5221.855342012","97","97","97"
"5226.313850218","97","97","97"
"5236.857010514","98","98","98"
"5241.313236658","63","63","63"
"5251.854595589","81","81","81"
"5256.313067083","99","99","99"
"5266.855709399","67","67","67"
"5271.312924387","97","97","97"
"5281.855604069","99","99","99"
"5286.312571889","99","99","99"
"5296.85552633","99","99","99"
"5301.312444901","83","83","83"
"5311.855065633","94","94","94"
"5316.311503646","65","65","65"
"5326.854425194","97","97","97"
"5331.313206233","92","92","92"
"5341.856027039","64","64","64"
"5346.313019784","96","96","96"
"5356.856123274","99","99","99"
"5361.313478782","99","99","99"
"5371.85528215","64","64","64"
"5376.311760896","79","79","79"
"5386.85574696","68","68","68"
"5391.313380308","75","75","75"
"5401.855928202","85","85","85"
"5406.312981911","98","98","98"
"5416.856275874","99","99","99"
"5421.311854615","97","97","97"
"5431.855005097","99","99","99"
"5436.313025705","99","99","99"
"5446.853852488","97","97","97"
"5451.31264921","99","99","99"
"5461.854887176","91","91","91"
"5466.311271762","63","63","63"
"5476.854584218","71","71","71"
"5481.312360681","97","97","97"
"5491.855253288","64","64","64"
"5496.312029553","64","64","64"
"5506.855630495","99","99","99"
"5511.31287281","63","63","63"
"5521.855787802","97","97","97"
