"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"1476.314849968","27827306496","27827306496","27827306496"
"1486.855274851","27577745408","27577745408","27577745408"
"1491.312640314","27827306496","27827306496","27827306496"
"1501.855813134","27577745408","27577745408","27577745408"
"1506.313190269","27827306496","27827306496","27827306496"
"1516.855498392","27577745408","27577745408","27577745408"
"1521.313737564","27827306496","27827306496","27827306496"
"1531.85616589","27577745408","27577745408","27577745408"
"1536.313546585","27827306496","27827306496","27827306496"
"1546.85470496","27577745408","27577745408","27577745408"
"1551.313202857","27827306496","27827306496","27827306496"
"1561.855353323","27577745408","27577745408","27577745408"
"1566.312030421","27827306496","27827306496","27827306496"
"1576.854894801","27577745408","27577745408","27577745408"
"1581.313373085","27827306496","27827306496","27827306496"
"1591.85624672","27577745408","27577745408","27577745408"
"1596.312858897","27827306496","27827306496","27827306496"
"1606.855313734","27577745408","27577745408","27577745408"
"1611.313585381","27827306496","27827306496","27827306496"
"1621.855504541","27577745408","27577745408","27577745408"
"1626.313138545","27827306496","27827306496","27827306496"
"1636.855208874","27577745408","27577745408","27577745408"
"1641.312418505","27827306496","27827306496","27827306496"
"1651.855158287","27577745408","27577745408","27577745408"
"1656.312361728","27827306496","27827306496","27827306496"
"1666.855191789","27577745408","27577745408","27577745408"
"1671.312665672","27827306496","27827306496","27827306496"
"1681.855007425","27577745408","27577745408","27577745408"
"1686.312889742","27827306496","27827306496","27827306496"
"1696.856347291","27577745408","27577745408","27577745408"
"1701.312689834","27827306496","27827306496","27827306496"
"1711.855553681","27577745408","27577745408","27577745408"
"1716.312115491","27827306496","27827306496","27827306496"
"1726.855959139","27577745408","27577745408","27577745408"
"1731.312766587","27827306496","27827306496","27827306496"
"1741.855819416","27577745408","27577745408","27577745408"
"1746.313798701","27827306496","27827306496","27827306496"
"1756.855072331","27577745408","27577745408","27577745408"
"1761.312483022","27827306496","27827306496","27827306496"
"1771.854199361","27577745408","27577745408","27577745408"
"1776.312876973","27827306496","27827306496","27827306496"
"1786.854797389","27577745408","27577745408","27577745408"
"1791.313137915","27827306496","27827306496","27827306496"
"1801.854980565","27577745408","27577745408","27577745408"
"1806.313174716","27827306496","27827306496","27827306496"
"1816.855544368","27577745408","27577745408","27577745408"
"1821.312916744","27827306496","27827306496","27827306496"
"1831.855654903","27577745408","27577745408","27577745408"
"1836.313311289","27827306496","27827306496","27827306496"
"1846.855198197","27577745408","27577745408","27577745408"
"1851.314727111","27827306496","27827306496","27827306496"
"1861.854594226","27577745408","27577745408","27577745408"
"1866.315005622","27827306496","27827306496","27827306496"
"1876.855563368","27577745408","27577745408","27577745408"
"1881.312443627","27827306496","27827306496","27827306496"
"1891.855058677","27577745408","27577745408","27577745408"
"1896.311502424","27827306496","27827306496","27827306496"
"1906.856165847","27577745408","27577745408","27577745408"
"1911.312258718","27827306496","27827306496","27827306496"
"1921.856215174","27577745408","27577745408","27577745408"
"1926.312789205","27827306496","27827306496","27827306496"
"1936.85579147","27577745408","27577745408","27577745408"
"1941.313525496","27827306496","27827306496","27827306496"
"1951.85491101","27577745408","27577745408","27577745408"
"1956.313597275","27827306496","27827306496","27827306496"
"1966.856266983","27577745408","27577745408","27577745408"
"1971.312080049","27827306496","27827306496","27827306496"
"1981.855061726","27577745408","27577745408","27577745408"
"1986.313480842","27827306496","27827306496","27827306496"
"1996.85491953","27577745408","27577745408","27577745408"
"2001.312786258","27827306496","27827306496","27827306496"
"2011.854554447","27577745408","27577745408","27577745408"
"2016.313092819","27827306496","27827306496","27827306496"
"2026.855998089","27577745408","27577745408","27577745408"
"2031.313439596","27827306496","27827306496","27827306496"
"2041.855147619","27577745408","27577745408","27577745408"
"2046.312596344","27827306496","27827306496","27827306496"
"2056.855552837","27577745408","27577745408","27577745408"
"2061.312571493","27827306496","27827306496","27827306496"
"2071.854847355","27577745408","27577745408","27577745408"
"2076.313225528","27827306496","27827306496","27827306496"
"2086.855401924","27577745408","27577745408","27577745408"
"2091.312977718","27827306496","27827306496","27827306496"
"2101.85574829","27577745408","27577745408","27577745408"
"2106.313762955","27827306496","27827306496","27827306496"
"2116.85537682","27577745408","27577745408","27577745408"
"2121.313582792","27827306496","27827306496","27827306496"
"2131.856101951","27577745408","27577745408","27577745408"
"2136.312268313","27827306496","27827306496","27827306496"
"2146.855278274","27577745408","27577745408","27577745408"
"2151.312313354","27827306496","27827306496","27827306496"
"2161.856340812","27577745408","27577745408","27577745408"
"2166.312709671","27827306496","27827306496","27827306496"
"2176.855925881","27577745408","27577745408","27577745408"
"2181.314246435","27827306496","27827306496","27827306496"
"2191.855448804","27577745408","27577745408","27577745408"
"2196.31252073","27827306496","27827306496","27827306496"
"2206.85602155","27577745408","27577745408","27577745408"
"2211.313397239","27827306496","27827306496","27827306496"
"2221.855734382","27577745408","27577745408","27577745408"
