"epoch","final_final-v0 - train_loss_epoch","final_final-v0 - train_loss_epoch__MIN","final_final-v0 - train_loss_epoch__MAX","final_final-v0 - _step","final_final-v0 - _step__MIN","final_final-v0 - _step__MAX"
"179","0.777831494808197","0.777831494808197","0.777831494808197","1953","1953","1953"
"180","0.777085542678833","0.777085542678833","0.777085542678833","1964","1964","1964"
"181","0.7776328325271606","0.7776328325271606","0.7776328325271606","1975","1975","1975"
"182","0.7811214923858643","0.7811214923858643","0.7811214923858643","1986","1986","1986"
"183","0.7831400632858276","0.7831400632858276","0.7831400632858276","1997","1997","1997"
"184","0.7729138731956482","0.7729138731956482","0.7729138731956482","2008","2008","2008"
"185","0.7776119112968445","0.7776119112968445","0.7776119112968445","2018","2018","2018"
"186","0.7779641151428223","0.7779641151428223","0.7779641151428223","2029","2029","2029"
"187","0.778640627861023","0.778640627861023","0.778640627861023","2040","2040","2040"
"188","0.7721474766731262","0.7721474766731262","0.7721474766731262","2051","2051","2051"
"189","0.7776944041252136","0.7776944041252136","0.7776944041252136","2062","2062","2062"
"190","0.7804242372512817","0.7804242372512817","0.7804242372512817","2073","2073","2073"
"191","0.7745152711868286","0.7745152711868286","0.7745152711868286","2084","2084","2084"
"192","0.7832077741622925","0.7832077741622925","0.7832077741622925","2094","2094","2094"
"193","0.7708338499069214","0.7708338499069214","0.7708338499069214","2105","2105","2105"
"194","0.7697961330413818","0.7697961330413818","0.7697961330413818","2116","2116","2116"
"195","0.7692061066627502","0.7692061066627502","0.7692061066627502","2127","2127","2127"
"196","0.7724895477294922","0.7724895477294922","0.7724895477294922","2138","2138","2138"
"197","0.7725273370742798","0.7725273370742798","0.7725273370742798","2149","2149","2149"
"198","0.7864102721214294","0.7864102721214294","0.7864102721214294","2160","2160","2160"
"199","0.7680130004882812","0.7680130004882812","0.7680130004882812","2171","2171","2171"
"200","0.7745837569236755","0.7745837569236755","0.7745837569236755","2181","2181","2181"
"201","0.777247965335846","0.777247965335846","0.777247965335846","2192","2192","2192"
"202","0.7774612903594971","0.7774612903594971","0.7774612903594971","2203","2203","2203"
"203","0.780616819858551","0.780616819858551","0.780616819858551","2214","2214","2214"
"204","0.7746552228927612","0.7746552228927612","0.7746552228927612","2225","2225","2225"
"205","0.7680144906044006","0.7680144906044006","0.7680144906044006","2236","2236","2236"
"206","0.7749896049499512","0.7749896049499512","0.7749896049499512","2247","2247","2247"
"207","0.773987352848053","0.773987352848053","0.773987352848053","2257","2257","2257"
"208","0.7755301594734192","0.7755301594734192","0.7755301594734192","2268","2268","2268"
"209","0.7743097543716431","0.7743097543716431","0.7743097543716431","2279","2279","2279"
"210","0.770078182220459","0.770078182220459","0.770078182220459","2290","2290","2290"
"211","0.7748669981956482","0.7748669981956482","0.7748669981956482","2301","2301","2301"
"212","0.7821571826934814","0.7821571826934814","0.7821571826934814","2312","2312","2312"
"213","0.7749170064926147","0.7749170064926147","0.7749170064926147","2323","2323","2323"
"214","0.7749135494232178","0.7749135494232178","0.7749135494232178","2333","2333","2333"
"215","0.7727618217468262","0.7727618217468262","0.7727618217468262","2344","2344","2344"
"216","0.7712501287460327","0.7712501287460327","0.7712501287460327","2355","2355","2355"
"217","0.7759086489677429","0.7759086489677429","0.7759086489677429","2366","2366","2366"
"218","0.7836745977401733","0.7836745977401733","0.7836745977401733","2377","2377","2377"
"219","0.7717567682266235","0.7717567682266235","0.7717567682266235","2388","2388","2388"
"220","0.7748934626579285","0.7748934626579285","0.7748934626579285","2399","2399","2399"
"221","0.7758263349533081","0.7758263349533081","0.7758263349533081","2409","2409","2409"
"222","0.7717438340187073","0.7717438340187073","0.7717438340187073","2420","2420","2420"
