"Relative Time (Process)","onFlashIPA_v0 - system/gpu.0.gpu","onFlashIPA_v0 - system/gpu.0.gpu__MIN","onFlashIPA_v0 - system/gpu.0.gpu__MAX"
"4516.938188036","15","15","15"
"4531.938777828","14","14","14"
"4546.93823844","14","14","14"
"4561.93865221","20","20","20"
"4576.93905895","15","15","15"
"4591.938349657","15","15","15"
"4606.93896206","14","14","14"
"4621.938707563","16","16","16"
"4636.938348545","14","14","14"
"4651.938444552","14","14","14"
"4666.938563963","14","14","14"
"4681.940017056","14","14","14"
"4696.938135622","13","13","13"
"4711.938176659","15","15","15"
"4726.938014821","14","14","14"
"4741.938136607","15","15","15"
"4756.938011889","11","11","11"
"4771.938256352","18","18","18"
"4786.93851456","15","15","15"
"4801.938432337","15","15","15"
"4816.938297524","15","15","15"
"4831.938890481","15","15","15"
"4846.938521847","14","14","14"
"4861.937971158","15","15","15"
"4876.938168385","15","15","15"
"4891.938835073","17","17","17"
"4906.938630434","15","15","15"
"4921.938717367","14","14","14"
"4936.938075552","15","15","15"
"4951.938568932","15","15","15"
"4966.938095612","14","14","14"
"4981.93849998","14","14","14"
"4996.938165446","14","14","14"
"5011.938227969","15","15","15"
"5026.937981397","14","14","14"
"5041.938311359","14","14","14"
"5056.93884792","14","14","14"
"5071.938233496","15","15","15"
"5086.938426871","15","15","15"
"5101.938089003","14","14","14"
"5116.937937545","15","15","15"
"5131.938854509","15","15","15"
"5146.938144026","15","15","15"
"5161.938329968","14","14","14"
"5176.938750835","15","15","15"
"5191.938766278","15","15","15"
"5206.937889732","14","14","14"
"5221.938567782","15","15","15"
"5236.938555314","13","13","13"
"5251.938856613","15","15","15"
"5266.938785977","15","15","15"
"5281.938817728","15","15","15"
"5296.938940104","14","14","14"
"5311.938339425","14","14","14"
"5326.938818755","15","15","15"
"5341.937889657","14","14","14"
"5356.937679854","16","16","16"
"5371.938745199","15","15","15"
"5386.938833999","14","14","14"
"5401.93840383","14","14","14"
"5416.939026795","9","9","9"
"5431.938594874","14","14","14"
"5446.93816982","15","15","15"
"5461.938841688","16","16","16"
"5476.937962728","14","14","14"
"5491.938147243","15","15","15"
"5506.93783744","16","16","16"
"5521.938761193","15","15","15"
"5536.938281693","15","15","15"
"5551.938488991","15","15","15"
"5566.938822071","15","15","15"
"5581.938278389","14","14","14"
"5596.93848732","13","13","13"
"5611.938819327","14","14","14"
"5626.937931186","15","15","15"
"5641.938776011","15","15","15"
"5656.93836997","14","14","14"
"5671.938871103","11","11","11"
"5686.938679705","15","15","15"
"5701.938233722","15","15","15"
"5716.938263277","14","14","14"
"5731.938054859","15","15","15"
"5746.938421455","13","13","13"
"5761.938202231","14","14","14"
"5776.938926809","15","15","15"
"5791.938071922","11","11","11"
"5806.938621984","14","14","14"
"5821.938940156","15","15","15"
"5836.938451146","17","17","17"
"5851.938236262","13","13","13"
"5866.93879581","14","14","14"
"5881.938700953","13","13","13"
"5896.937918315","15","15","15"
"5911.938299565","13","13","13"
"5926.938031054","17","17","17"
"5941.938158548","14","14","14"
"5956.938910437","14","14","14"
"5971.938191058","14","14","14"
"5986.938052614","14","14","14"
"6001.938707918","15","15","15"
"6016.938269159","15","15","15"
"6031.938259912","14","14","14"
"6046.937917779","15","15","15"
"6061.938214454","13","13","13"
"6076.938729657","15","15","15"
"6091.938109746","15","15","15"
"6106.937903666","15","15","15"
"6121.938606843","14","14","14"
"6136.938354597","13","13","13"
"6151.938280195","10","10","10"
"6166.938483515","13","13","13"
"6181.938243571","15","15","15"
"6196.938322523","14","14","14"
"6211.93804665","14","14","14"
"6226.938374689","15","15","15"
"6241.939006417","13","13","13"
"6256.93894096","14","14","14"
"6271.93882872","16","16","16"
"6286.938493069","15","15","15"
"6301.938284613","13","13","13"
"6316.938538985","15","15","15"
"6331.937946263","18","18","18"
"6346.938422436","16","16","16"
"6361.938660146","15","15","15"
"6376.938401917","13","13","13"
"6391.938605497","14","14","14"
"6406.93830731","15","15","15"
"6421.938836615","14","14","14"
"6436.938416564","15","15","15"
"6451.938733056","14","14","14"
"6466.938866745","15","15","15"
"6481.939094001","11","11","11"
"6496.938755717","14","14","14"
"6511.937869082","15","15","15"
"6526.938478121","15","15","15"
"6541.938686641","14","14","14"
"6556.938209147","14","14","14"
"6571.938800443","14","14","14"
"6586.938742127","13","13","13"
"6601.938714149","16","16","16"
"6616.937778915","14","14","14"
"6631.938312926","14","14","14"
"6646.938296025","3","3","3"
"6661.938229214","15","15","15"
"6676.938251145","14","14","14"
"6691.938788808","15","15","15"
"6706.938202966","15","15","15"
"6721.938311494","15","15","15"
"6736.937839105","15","15","15"
