"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"70","0.9008094668388367","0.9008094668388367","0.9008094668388367","770","770","770"
"71","0.9070414304733276","0.9070414304733276","0.9070414304733276","780","780","780"
"72","0.901637613773346","0.901637613773346","0.901637613773346","791","791","791"
"73","0.9072509407997131","0.9072509407997131","0.9072509407997131","802","802","802"
"74","0.9091318845748901","0.9091318845748901","0.9091318845748901","813","813","813"
"75","0.8981283903121948","0.8981283903121948","0.8981283903121948","824","824","824"
"76","0.8981676697731018","0.8981676697731018","0.8981676697731018","835","835","835"
"77","0.9028523564338684","0.9028523564338684","0.9028523564338684","846","846","846"
"78","0.8979654312133789","0.8979654312133789","0.8979654312133789","856","856","856"
"79","0.8983682990074158","0.8983682990074158","0.8983682990074158","867","867","867"
"80","0.9046248197555542","0.9046248197555542","0.9046248197555542","878","878","878"
"81","0.8977625370025635","0.8977625370025635","0.8977625370025635","889","889","889"
"82","0.896411657333374","0.896411657333374","0.896411657333374","900","900","900"
"83","0.9081382751464844","0.9081382751464844","0.9081382751464844","911","911","911"
"84","0.8955313563346863","0.8955313563346863","0.8955313563346863","922","922","922"
"85","0.8961270451545715","0.8961270451545715","0.8961270451545715","932","932","932"
"86","0.8867522478103638","0.8867522478103638","0.8867522478103638","943","943","943"
"87","0.8902837038040161","0.8902837038040161","0.8902837038040161","954","954","954"
"88","0.888584554195404","0.888584554195404","0.888584554195404","965","965","965"
"89","0.900138795375824","0.900138795375824","0.900138795375824","976","976","976"
"90","0.887806236743927","0.887806236743927","0.887806236743927","987","987","987"
"91","0.8941168785095215","0.8941168785095215","0.8941168785095215","998","998","998"
"92","0.8901042938232422","0.8901042938232422","0.8901042938232422","1008","1008","1008"
"93","0.8909541368484497","0.8909541368484497","0.8909541368484497","1019","1019","1019"
"94","0.8945435881614685","0.8945435881614685","0.8945435881614685","1030","1030","1030"
"95","0.8853352665901184","0.8853352665901184","0.8853352665901184","1041","1041","1041"
"96","0.8878043293952942","0.8878043293952942","0.8878043293952942","1052","1052","1052"
"97","0.8849619626998901","0.8849619626998901","0.8849619626998901","1063","1063","1063"
"98","0.8776782155036926","0.8776782155036926","0.8776782155036926","1074","1074","1074"
"99","0.8828738331794739","0.8828738331794739","0.8828738331794739","1085","1085","1085"
"100","0.8883486390113831","0.8883486390113831","0.8883486390113831","1095","1095","1095"
"101","0.8885579705238342","0.8885579705238342","0.8885579705238342","1106","1106","1106"
"102","0.8757355213165283","0.8757355213165283","0.8757355213165283","1117","1117","1117"
"103","0.8861373066902161","0.8861373066902161","0.8861373066902161","1128","1128","1128"
"104","0.8869690299034119","0.8869690299034119","0.8869690299034119","1139","1139","1139"
"105","0.8774256110191345","0.8774256110191345","0.8774256110191345","1150","1150","1150"
"106","0.8859009742736816","0.8859009742736816","0.8859009742736816","1161","1161","1161"
"107","0.8797627091407776","0.8797627091407776","0.8797627091407776","1171","1171","1171"
"108","0.882175624370575","0.882175624370575","0.882175624370575","1182","1182","1182"
"109","0.8843763470649719","0.8843763470649719","0.8843763470649719","1193","1193","1193"
"110","0.8768570423126221","0.8768570423126221","0.8768570423126221","1204","1204","1204"
"111","0.8773676156997681","0.8773676156997681","0.8773676156997681","1215","1215","1215"
"112","0.8753958940505981","0.8753958940505981","0.8753958940505981","1226","1226","1226"
"113","0.8797972798347473","0.8797972798347473","0.8797972798347473","1237","1237","1237"
"114","0.876213788986206","0.876213788986206","0.876213788986206","1247","1247","1247"
"115","0.8759709000587463","0.8759709000587463","0.8759709000587463","1258","1258","1258"
"116","0.8815052509307861","0.8815052509307861","0.8815052509307861","1269","1269","1269"
"117","0.8764787316322327","0.8764787316322327","0.8764787316322327","1280","1280","1280"
"118","0.8788521885871887","0.8788521885871887","0.8788521885871887","1291","1291","1291"
"119","0.8712027668952942","0.8712027668952942","0.8712027668952942","1302","1302","1302"
"120","0.8820656538009644","0.8820656538009644","0.8820656538009644","1313","1313","1313"
"121","0.8747002482414246","0.8747002482414246","0.8747002482414246","1323","1323","1323"
"122","0.8767743110656738","0.8767743110656738","0.8767743110656738","1334","1334","1334"
"123","0.8741663098335266","0.8741663098335266","0.8741663098335266","1345","1345","1345"
"124","0.8680947422981262","0.8680947422981262","0.8680947422981262","1356","1356","1356"
"125","0.8692103028297424","0.8692103028297424","0.8692103028297424","1367","1367","1367"
"126","0.875935435295105","0.875935435295105","0.875935435295105","1378","1378","1378"
"127","0.8742270469665527","0.8742270469665527","0.8742270469665527","1389","1389","1389"
"128","0.8772391676902771","0.8772391676902771","0.8772391676902771","1399","1399","1399"
"129","0.8705450296401978","0.8705450296401978","0.8705450296401978","1410","1410","1410"
"130","0.8677269220352173","0.8677269220352173","0.8677269220352173","1421","1421","1421"
"131","0.8773123621940613","0.8773123621940613","0.8773123621940613","1432","1432","1432"
"132","0.8694497346878052","0.8694497346878052","0.8694497346878052","1443","1443","1443"
"133","0.8681763410568237","0.8681763410568237","0.8681763410568237","1454","1454","1454"
"134","0.8646489381790161","0.8646489381790161","0.8646489381790161","1465","1465","1465"
"135","0.8692193031311035","0.8692193031311035","0.8692193031311035","1475","1475","1475"
"136","0.8670140504837036","0.8670140504837036","0.8670140504837036","1486","1486","1486"
"137","0.8697519898414612","0.8697519898414612","0.8697519898414612","1497","1497","1497"
"138","0.8623731732368469","0.8623731732368469","0.8623731732368469","1508","1508","1508"
"139","0.8674137592315674","0.8674137592315674","0.8674137592315674","1519","1519","1519"
"140","0.8646881580352783","0.8646881580352783","0.8646881580352783","1530","1530","1530"
"141","0.8659880757331848","0.8659880757331848","0.8659880757331848","1541","1541","1541"
"142","0.8630538582801819","0.8630538582801819","0.8630538582801819","1551","1551","1551"
"143","0.8659014701843262","0.8659014701843262","0.8659014701843262","1562","1562","1562"
"144","0.8632091879844666","0.8632091879844666","0.8632091879844666","1573","1573","1573"
