"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.gpu","skilled-firefly-1 - system/gpu.0.gpu__MIN","skilled-firefly-1 - system/gpu.0.gpu__MAX"
"3257.101189144","96","96","96"
"3272.099628","64","64","64"
"3272.099628289","64","64","64"
"3287.099151","99","99","99"
"3287.099151967","99","99","99"
"3302.09903","96","96","96"
"3302.099030376","96","96","96"
"3317.100855","62","62","62"
"3317.100855232","62","62","62"
"3332.099625","99","99","99"
"3332.099625452","99","99","99"
"3347.099898","96","96","96"
"3347.099898819","96","96","96"
"3362.100017","59","59","59"
"3362.100017397","59","59","59"
"3377.099422","99","99","99"
"3377.09942291","99","99","99"
"3392.099997","99","99","99"
"3392.099997525","99","99","99"
"3407.099123","96","96","96"
"3407.099123611","96","96","96"
"3422.099785","95","95","95"
"3437.100085","69","69","69"
"3437.100085806","69","69","69"
"3452.100206","99","99","99"
"3452.100206188","99","99","99"
"3467.099733","95","95","95"
"3467.099733681","95","95","95"
"3482.100105","78","78","78"
"3482.100105933","78","78","78"
"3497.098413","96","96","96"
"3497.098413353","96","96","96"
"3512.099385","89","89","89"
"3512.09938597","89","89","89"
"3527.099963","81","81","81"
"3527.099963206","81","81","81"
"3542.099251","96","96","96"
"3542.099251713","96","96","96"
"3557.100033","99","99","99"
"3572.101185","97","97","97"
"3572.101185894","97","97","97"
"3587.100438","56","56","56"
"3587.100438454","56","56","56"
"3602.099477","99","99","99"
"3602.099477415","99","99","99"
"3617.099763","96","96","96"
"3617.099763828","96","96","96"
"3632.099879","55","55","55"
"3632.099879634","55","55","55"
"3647.099052","99","99","99"
"3647.099052675","99","99","99"
"3662.100412","95","95","95"
"3662.100412934","95","95","95"
"3677.10034","65","65","65"
"3677.100340838","65","65","65"
"3692.099074","96","96","96"
"3707.099739","78","78","78"
"3722.09907","86","86","86"
"3722.099070977","86","86","86"
"3737.099732","67","67","67"
"3737.099732767","67","67","67"
"3752.099764","99","99","99"
"3752.099764884","99","99","99"
"3767.098772","95","95","95"
"3767.098772912","95","95","95"
"3782.099086","69","69","69"
"3782.09908643","69","69","69"
"3797.098368","99","99","99"
"3797.098368808","99","99","99"
"3812.100611","94","94","94"
"3812.100611432","94","94","94"
"3827.100417","66","66","66"
"3827.100417763","66","66","66"
"3842.09966","81","81","81"
"3842.099660341","81","81","81"
"3857.099692","99","99","99"
"3857.099692803","99","99","99"
"3872.100079","63","63","63"
"3872.100079857","63","63","63"
"3887.099909","96","96","96"
"3887.099909326","96","96","96"
"3902.099596","64","64","64"
"3902.099596447","64","64","64"
"3917.099224","99","99","99"
"3932.098815","96","96","96"
"3932.098815268","96","96","96"
"3947.09998","61","61","61"
"3947.099980827","61","61","61"
"3962.099954","77","77","77"
"3962.099954493","77","77","77"
"3977.10011","99","99","99"
"3977.100110838","99","99","99"
"3992.098574","96","96","96"
"3992.09857486","96","96","96"
"4007.099401","81","81","81"
"4007.099401146","81","81","81"
"4022.099662","99","99","99"
"4022.099662587","99","99","99"
"4037.099564","7","7","7"
"4037.099564834","7","7","7"
"4052.099967","65","65","65"
"4052.099967203","65","65","65"
"4067.100265","99","99","99"
"4082.100202","99","99","99"
"4082.100202587","99","99","99"
"4097.099338","58","58","58"
"4097.099338694","58","58","58"
"4112.101062","85","85","85"
"4112.101062797","85","85","85"
"4127.102292","99","99","99"
"4142.099151","96","96","96"
"4142.099151262","96","96","96"
"4157.099545","58","58","58"
"4157.099545309","58","58","58"
"4172.099804","78","78","78"
"4172.099804373","78","78","78"
"4187.099461","99","99","99"
"4202.10012","95","95","95"
"4217.099467","99","99","99"
"4217.09946721","99","99","99"
"4232.098978","63","63","63"
"4247.100417","96","96","96"
"4247.100417286","96","96","96"
"4262.100426","95","95","95"
"4262.100426088","95","95","95"
"4277.099769","94","94","94"
"4292.099779","80","80","80"
"4307.099902","96","96","96"
"4307.099902873","96","96","96"
"4322.099645","96","96","96"
"4322.099645219","96","96","96"
"4337.098594","63","63","63"
"4337.098594914","63","63","63"
"4352.099374","99","99","99"
"4352.099374768","99","99","99"
"4367.10025","96","96","96"
"4367.100250924","96","96","96"
"4382.099987","96","96","96"
"4382.099987553","96","96","96"
"4397.098804","59","59","59"
"4397.098804855","59","59","59"
"4412.099455","99","99","99"
"4427.099687","96","96","96"
"4442.099653","64","64","64"
"4442.099653246","64","64","64"
"4457.098843","99","99","99"
"4457.098843825","99","99","99"
"4472.099327","96","96","96"
"4472.09932722","96","96","96"
"4487.098455","65","65","65"
"4487.098455585","65","65","65"
"4502.099767","90","90","90"
"4502.099767951","90","90","90"
"4517.100405","96","96","96"
"4517.100405503","96","96","96"
"4532.099552","86","86","86"
"4532.099552195","86","86","86"
"4547.099876","96","96","96"
"4547.099876206","96","96","96"
"4562.098957","66","66","66"
"4562.098957281","66","66","66"
"4577.099204","99","99","99"
"4577.099204467","99","99","99"
"4592.099529","96","96","96"
"4607.10046","99","99","99"
"4607.100460462","99","99","99"
"4622.09989","96","96","96"
"4622.099890648","96","96","96"
"4637.099936","92","92","92"
"4637.099936703","92","92","92"
"4652.098894","58","58","58"
"4652.098894598","58","58","58"
"4667.100227","99","99","99"
"4667.100227869","99","99","99"
"4682.099682","96","96","96"
"4697.09984","53","53","53"
"4697.099840992","53","53","53"
"4712.098782","64","64","64"
"4727.102019","70","70","70"
"4727.102019599","70","70","70"
"4742.099901","99","99","99"
"4742.099901236","99","99","99"
"4757.100179","96","96","96"
"4757.100179757","96","96","96"
"4772.100186","65","65","65"
"4772.100186333","65","65","65"
"4787.100016","96","96","96"
"4787.100016306","96","96","96"
"4802.100371","96","96","96"
"4802.100371962","96","96","96"
"4817.098538","65","65","65"
"4817.098538083","65","65","65"
"4832.09984","99","99","99"
"4832.099840795","99","99","99"
"4847.09955","96","96","96"
"4862.099745","99","99","99"
"4862.099745414","99","99","99"
"4877.100526","96","96","96"
"4877.100526299","96","96","96"
"4892.100292","58","58","58"
"4892.100292804","58","58","58"
"4907.099875","99","99","99"
"4907.099875971","99","99","99"
"4922.101302","96","96","96"
"4922.101302089","96","96","96"
"4937.09939","87","87","87"
"4937.099390474","87","87","87"
"4952.100285","87","87","87"
"4952.100285557","87","87","87"
"4967.099867","96","96","96"
"4967.099867592","96","96","96"
"4982.09939","64","64","64"
"4997.099483","96","96","96"
"4997.09948314","96","96","96"
"5012.099314","62","62","62"
"5012.099314407","62","62","62"
"5027.100119","65","65","65"
"5027.100119669","65","65","65"
"5042.099105","99","99","99"
"5042.099105948","99","99","99"
