"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"68387.099553","31704940544","31704940544","31704940544"
"68402.098483","31704940544","31704940544","31704940544"
"68417.099894","31704940544","31704940544","31704940544"
"68432.098391","31704940544","31704940544","31704940544"
"68447.09934","31704940544","31704940544","31704940544"
"68462.292009","31704940544","31704940544","31704940544"
"68477.099695","31704940544","31704940544","31704940544"
"68492.099717","31704940544","31704940544","31704940544"
"68507.101669","31704940544","31704940544","31704940544"
"68522.102045","31704940544","31704940544","31704940544"
"68537.10003","31704940544","31704940544","31704940544"
"68552.100129","31704940544","31704940544","31704940544"
"68567.099582","31704940544","31704940544","31704940544"
"68582.099315","31704940544","31704940544","31704940544"
"68597.099706","31704940544","31704940544","31704940544"
"68612.099461","31704940544","31704940544","31704940544"
"68627.099929","31704940544","31704940544","31704940544"
"68642.100442","31704940544","31704940544","31704940544"
"68657.099903","31704940544","31704940544","31704940544"
"68672.100477","31704940544","31704940544","31704940544"
"68687.099813","31704940544","31704940544","31704940544"
"68702.098711","31704940544","31704940544","31704940544"
"68717.099501","31704940544","31704940544","31704940544"
"68732.099837","31704940544","31704940544","31704940544"
"68747.099325","31704940544","31704940544","31704940544"
"68762.100219","31704940544","31704940544","31704940544"
"68777.099275","31704940544","31704940544","31704940544"
"68792.099209","31704940544","31704940544","31704940544"
"68807.099823","31704940544","31704940544","31704940544"
"68822.100043","31704940544","31704940544","31704940544"
"68837.098693","31704940544","31704940544","31704940544"
"68852.099742","31704940544","31704940544","31704940544"
"68867.099439","31704940544","31704940544","31704940544"
"68882.099859","31704940544","31704940544","31704940544"
"68897.099857","31704940544","31704940544","31704940544"
"68912.09847","31704940544","31704940544","31704940544"
"68927.099238","31704940544","31704940544","31704940544"
"68942.099162","31704940544","31704940544","31704940544"
"68957.099657","31704940544","31704940544","31704940544"
"68972.099138","31704940544","31704940544","31704940544"
"68987.099459","31704940544","31704940544","31704940544"
"69002.100222","31704940544","31704940544","31704940544"
"69017.101343","31704940544","31704940544","31704940544"
"69032.099408","31704940544","31704940544","31704940544"
"69047.100409","31704940544","31704940544","31704940544"
"69062.098772","31704940544","31704940544","31704940544"
"69077.099727","31704940544","31704940544","31704940544"
"69092.099604","31704940544","31704940544","31704940544"
"69107.099678","31704940544","31704940544","31704940544"
"69122.099861","31704940544","31704940544","31704940544"
"69137.099208","31704940544","31704940544","31704940544"
"69152.099712","31704940544","31704940544","31704940544"
"69167.099271","31704940544","31704940544","31704940544"
"69182.100375","31704940544","31704940544","31704940544"
"69197.100054","31704940544","31704940544","31704940544"
"69212.1004","31704940544","31704940544","31704940544"
"69227.098783","31704940544","31704940544","31704940544"
"69242.099035","31704940544","31704940544","31704940544"
"69257.099519","31704940544","31704940544","31704940544"
"69272.099321","31704940544","31704940544","31704940544"
"69287.099823","31704940544","31704940544","31704940544"
"69302.099665","31704940544","31704940544","31704940544"
"69317.099139","31704940544","31704940544","31704940544"
"69332.099978","31704940544","31704940544","31704940544"
"69347.100377","31704940544","31704940544","31704940544"
"69362.099285","31704940544","31704940544","31704940544"
"69377.099307","31704940544","31704940544","31704940544"
"69392.099627","31704940544","31704940544","31704940544"
"69407.099595","31704940544","31704940544","31704940544"
"69422.099322","31704940544","31704940544","31704940544"
"69437.098845","31704940544","31704940544","31704940544"
"69452.100353","31704940544","31704940544","31704940544"
"69467.100457","31704940544","31704940544","31704940544"
"69482.099585","31704940544","31704940544","31704940544"
"69497.099106","31704940544","31704940544","31704940544"
"69512.099463","31704940544","31704940544","31704940544"
"69527.099314","31704940544","31704940544","31704940544"
"69542.099636","31704940544","31704940544","31704940544"
"69557.100444","31704940544","31704940544","31704940544"
"69572.099286","31704940544","31704940544","31704940544"
"69587.100334","31704940544","31704940544","31704940544"
"69602.10001","31704940544","31704940544","31704940544"
"69617.09996","31704940544","31704940544","31704940544"
"69632.100258","31704940544","31704940544","31704940544"
"69647.099611","31704940544","31704940544","31704940544"
"69662.098761","31704940544","31704940544","31704940544"
"69677.098983","31704940544","31704940544","31704940544"
"69692.100508","31704940544","31704940544","31704940544"
"69707.099933","31704940544","31704940544","31704940544"
"69722.099282","31704940544","31704940544","31704940544"
"69737.099935","31704940544","31704940544","31704940544"
"69752.09975","31704940544","31704940544","31704940544"
"69767.098784","31704940544","31704940544","31704940544"
"69782.098987","31704940544","31704940544","31704940544"
"69797.101265","31704940544","31704940544","31704940544"
"69812.100959","31704940544","31704940544","31704940544"
"69827.100963","31704940544","31704940544","31704940544"
"69842.101044","31704940544","31704940544","31704940544"
"69857.099497","31704940544","31704940544","31704940544"
"69872.099824","31704940544","31704940544","31704940544"
"69887.100049","31704940544","31704940544","31704940544"
"69902.100265","31704940544","31704940544","31704940544"
"69917.099132","31704940544","31704940544","31704940544"
"69932.099665","31704940544","31704940544","31704940544"
"69947.099887","31704940544","31704940544","31704940544"
"69962.099032","31704940544","31704940544","31704940544"
"69977.099447","31704940544","31704940544","31704940544"
"69992.099793","31704940544","31704940544","31704940544"
"70007.099325","31704940544","31704940544","31704940544"
"70022.099617","31704940544","31704940544","31704940544"
"70037.100028","31704940544","31704940544","31704940544"
"70052.099616","31704940544","31704940544","31704940544"
"70067.09935","31704940544","31704940544","31704940544"
"70082.099792","31704940544","31704940544","31704940544"
"70097.100326","31704940544","31704940544","31704940544"
"70112.099709","31704940544","31704940544","31704940544"
"70127.099265","31704940544","31704940544","31704940544"
"70142.100096","31704940544","31704940544","31704940544"
"70157.100326","31704940544","31704940544","31704940544"
"70172.09969","31704940544","31704940544","31704940544"
"70187.098238","31704940544","31704940544","31704940544"
"70202.099918","31704940544","31704940544","31704940544"
"70217.099244","31704940544","31704940544","31704940544"
"70232.1005","31704940544","31704940544","31704940544"
"70247.100053","31704940544","31704940544","31704940544"
"70262.100229","31704940544","31704940544","31704940544"
"70277.099379","31704940544","31704940544","31704940544"
"70292.100317","31704940544","31704940544","31704940544"
"70307.100276","31704940544","31704940544","31704940544"
"70322.099692","31704940544","31704940544","31704940544"
"70337.099472","31704940544","31704940544","31704940544"
"70352.099765","31704940544","31704940544","31704940544"
"70367.099254","31704940544","31704940544","31704940544"
"70382.098369","31704940544","31704940544","31704940544"
"70397.099936","31704940544","31704940544","31704940544"
"70412.099729","31704940544","31704940544","31704940544"
"70427.099016","31704940544","31704940544","31704940544"
"70442.099293","31704940544","31704940544","31704940544"
"70457.099912","31704940544","31704940544","31704940544"
"70472.099798","31704940544","31704940544","31704940544"
"70487.099947","31704940544","31704940544","31704940544"
"70502.099521","31704940544","31704940544","31704940544"
"70517.099413","31704940544","31704940544","31704940544"
"70532.098151","31704940544","31704940544","31704940544"
"70547.099493","31704940544","31704940544","31704940544"
"70562.100934","31704940544","31704940544","31704940544"
"70577.100543","31704940544","31704940544","31704940544"
"70592.09876","31704940544","31704940544","31704940544"
"70607.099867","31704940544","31704940544","31704940544"
"70622.09976","31704940544","31704940544","31704940544"
"70637.099906","31704940544","31704940544","31704940544"
"70652.100368","31704940544","31704940544","31704940544"
"70667.100017","31704940544","31704940544","31704940544"
"70682.099971","31704940544","31704940544","31704940544"
"70697.09901","31704940544","31704940544","31704940544"
"70712.099867","31704940544","31704940544","31704940544"
"70727.100451","31704940544","31704940544","31704940544"
"70742.100057","31704940544","31704940544","31704940544"
"70757.100099","31704940544","31704940544","31704940544"
"70772.099219","31704940544","31704940544","31704940544"
